draw_number,draw_date,Numero1,Numero2,Numero3,Numero4,Numero5,Numero6,Numero7,Powerball,main_count,main_max,powerball_max
877,2013-03-07,8,16,19,25,26,29,0,5,6,40,20
880,2013-03-28,2,5,21,26,27,28,0,19,6,40,20
886,2013-05-09,2,4,23,26,30,33,0,4,6,40,20
888,2013-05-23,1,6,10,14,26,27,0,7,6,40,20
890,2013-06-06,5,14,16,20,26,29,0,8,6,40,20
893,2013-06-27,3,4,10,25,28,32,0,9,6,40,20
894,2013-07-04,1,8,14,16,17,23,0,11,6,40,20
898,2013-08-01,4,16,18,23,24,29,0,8,6,40,20
899,2013-08-08,1,8,20,22,23,25,0,12,6,40,20
900,2013-08-15,3,9,12,14,23,27,0,12,6,40,20
903,2013-09-05,2,10,12,14,16,20,0,8,6,40,20
905,2013-09-19,4,7,9,19,20,29,0,12,6,40,20
907,2013-10-03,9,10,18,30,31,33,0,10,6,40,20
909,2013-10-17,4,8,12,13,19,30,0,2,6,40,20
912,2013-11-07,9,13,14,25,27,34,0,15,6,40,20
913,2013-11-14,5,8,15,16,18,29,0,19,6,40,20
914,2013-11-21,1,10,16,19,27,34,0,10,6,40,20
921,2014-01-09,14,18,19,20,24,29,0,11,6,40,20
923,2014-01-23,7,9,14,24,28,31,0,11,6,40,20
924,2014-01-30,9,13,14,15,29,32,0,17,6,40,20
925,2014-02-06,3,5,7,10,13,22,0,15,6,40,20
926,2014-02-13,6,8,11,13,24,34,0,7,6,40,20
928,2014-02-27,1,14,18,22,30,34,0,17,6,40,20
935,2014-04-17,8,11,16,20,23,29,0,9,6,40,20
938,2014-05-08,7,8,13,21,28,34,0,4,6,40,20
940,2014-05-22,3,4,6,12,13,20,0,1,6,40,20
941,2014-05-29,2,14,15,21,22,32,0,15,6,40,20
942,2014-06-05,3,6,11,14,17,35,0,4,6,40,20
945,2014-06-26,2,9,10,20,32,33,0,7,6,40,20
947,2014-07-10,10,13,15,20,21,33,0,2,6,40,20
949,2014-07-24,1,8,11,15,21,31,0,20,6,40,20
954,2014-08-28,9,11,14,23,26,28,0,11,6,40,20
955,2014-09-04,2,17,18,24,25,26,0,6,6,40,20
957,2014-09-18,3,10,11,16,34,35,0,4,6,40,20
961,2014-10-16,4,9,13,18,26,34,0,3,6,40,20
965,2014-11-13,4,5,7,14,19,28,0,18,6,40,20
972,2015-01-01,18,24,25,27,32,34,0,6,6,40,20
981,2015-03-05,2,4,6,23,28,32,0,7,6,40,20
983,2015-03-19,7,8,14,18,24,35,0,15,6,40,20
984,2015-03-26,1,10,15,19,25,35,0,18,6,40,20
985,2015-04-02,5,9,11,23,24,33,0,13,6,40,20
987,2015-04-16,6,8,18,25,27,29,0,2,6,40,20
988,2015-04-23,2,9,25,27,32,34,0,8,6,40,20
990,2015-05-07,10,19,20,22,32,33,0,12,6,40,20
994,2015-06-04,3,4,8,16,21,33,0,8,6,40,20
995,2015-06-11,14,16,17,18,32,35,0,1,6,40,20
999,2015-07-09,2,17,19,24,27,35,0,11,6,40,20
1001,2015-07-23,3,9,21,25,27,32,0,18,6,40,20
1003,2015-08-06,5,7,16,17,25,26,0,17,6,40,20
1005,2015-08-20,2,3,17,19,20,33,0,1,6,40,20
1006,2015-08-27,2,5,6,11,23,28,0,14,6,40,20
1007,2015-09-03,3,15,21,30,32,33,0,17,6,40,20
1012,2015-10-08,5,6,13,20,27,35,0,3,6,40,20
1013,2015-10-15,6,7,13,20,23,29,0,18,6,40,20
1017,2015-11-12,1,3,15,19,26,35,0,18,6,40,20
1019,2015-11-26,3,4,8,17,19,33,0,9,6,40,20
1020,2015-12-03,2,7,11,19,21,25,0,16,6,40,20
1021,2015-12-10,10,14,17,18,28,35,0,9,6,40,20
1025,2016-01-07,4,14,18,20,23,34,0,18,6,40,20
